from,to,cost
400001,400001,1.0
400001,400017,0.18808271081111147
400001,400030,0.9946572861339328
400001,400040,0.5207663130650283
400001,400045,0.9998505540985475
400001,400052,0.2227784623445968
400001,400057,0.821393071676373
400001,400059,0.202075311536659
400001,400065,0.7816433206363507
400001,400069,0.5985918479161207
400001,400073,0.18862477774754033
400001,400084,0.3292011993208393
400001,400085,0.22091167817647064
400001,400088,0.718377035954385
400001,400096,0.46905976421308565
400001,400097,0.16012185673655735
400001,400100,0.49634897021719515
400001,400104,0.5447034697912914
400001,400109,0.9890907109538677
400001,400122,0.9994779657608531
400001,400147,0.8970833566427697
400001,400148,0.20177007828840188
400001,400158,0.6062670288360963
400001,400160,0.853023186171491
400001,400168,0.455626463945482
400001,400172,0.8741776711882011
400001,400178,0.3499112841794516
400001,400185,0.15724044137964022
400001,400201,0.5105116579735275
400001,400206,0.7210313866378295
400001,400209,0.1422998240215818
400001,400213,0.18252400957055825
400001,400221,0.4869388115621413
400001,400222,0.16347487339064048
400001,400227,0.8504222874857877
400001,400236,0.8236540949496672
400001,400238,0.734408259281012
400001,400240,0.20110660463709049
400001,400246,0.5820052905396057
400001,400253,0.902699755486385
400001,400257,0.4892326909035147
400001,400258,0.7158161485221586
400001,400268,0.20212062939139225
400001,400274,0.37629922760647194
400001,400278,0.2585323039492704
400001,400280,0.23896583500756374
400001,400292,0.5095080160870634
400001,400296,0.6039560813532149
400001,400298,0.48223682756023706
400001,400330,0.25154225264781116
400001,400336,0.19224481967431417
400001,400343,0.9510113014232582
400001,400353,0.678039602927792
400001,400372,0.6247330890082777
400001,400394,0.9998031567940836
400001,400400,0.796290498859642
400001,400414,0.4884691909458211
400001,400418,0.4903055176203113
400001,400429,0.4031407641469166
400001,400435,0.15568701303498092
400001,400436,0.29515374357924845
400001,400440,0.895183589320205
400001,400449,0.5435863506944336
400001,400457,0.3489983906106925
400001,400461,0.2196170297204646
400001,400464,0.18593568436286675
400001,400479,0.9993331354186427
400001,400485,0.18771429257321198
400001,400499,0.31777597636298793
400001,400507,0.16221387757818062
400001,400508,0.9407979608514534
400001,400514,0.8154992544426485
400001,400519,0.19223500491958087
400001,400528,0.10316543880892452
400001,400545,0.2163658222870987
400001,400560,0.36811293434424097
400001,400563,0.8246502268259558
400001,400567,0.5123332319332522
400001,400581,0.23189250595382585
400001,400582,0.16230257335144918
400001,400586,0.8573845612730557
400001,400637,0.1971619732438326
400001,400643,0.4609723990947398
400001,400648,0.1560723411507911
400001,400649,0.1629374926047053
400001,400654,0.5457826707478878
400001,400664,0.6090594626293283
400001,400665,0.7607483559177372
400001,400668,0.9037457807094065
400001,400673,0.3233943619839303
400001,400677,0.14327977462354138
400001,400687,0.3585554817688941
400001,400688,0.1838593019438781
400001,400690,0.22032630819610416
400001,400700,0.1908214878219216
400001,400709,0.8874488677416489
400001,400713,0.19214377878422773
400001,400714,0.6120869345439879
400001,400715,0.18847386334632787
400001,400717,0.2004192735071354
400001,400723,0.8117955893656004
400001,400743,0.24310725262718563
400001,400750,0.20357763727035014
400001,400760,0.9198095457479786
400001,400772,0.191283307537393
400001,400790,0.4363369306009726
400001,400792,0.18461076101808543
400001,400794,0.47011153924350485
400001,400799,0.8101487998201904
400001,400804,0.7305122540110414
400001,400822,0.1859888423737626
400001,400823,0.24424925805111453
400001,400828,0.16102012439950542
400001,400832,0.17833198032739847
400001,400837,0.6079866946977862
400001,400842,0.23932323910603195
400001,400863,0.9744320238278998
400001,400873,0.6075292235065272
400001,400895,0.731610829923399
400001,400904,0.34904319979968745
400001,400907,0.18461289721164553
400001,400911,0.9575678581854908
400001,400916,0.7826292442586348
400001,400922,0.9997725144988918
400001,400934,0.18633963932673403
400001,400951,0.7337862854665245
400001,400952,0.16159869048495196
400001,400953,0.8184620175350125
400001,400964,0.8675372967606458
400001,400965,0.995475692136237
400001,400970,0.3814736108019215
400001,400971,0.9974025284415597
400001,400973,0.4710994596979224
400001,400995,0.7148837684826819
400001,400996,0.8703749864477222
400001,401014,0.6025499593145505
400001,401129,0.2699444421139932
400001,401154,0.26950212276727464
400001,401163,0.7298480259752149
400001,401167,0.7317381028014208
400001,401210,0.16119760029587635
400001,401224,0.16002095100043878
400001,401327,0.7329534517111942
400001,401351,0.21661895691521937
400001,401388,0.6162789546009367
400001,401391,0.7759330429160046
400001,401400,0.6178727393972838
400001,401403,0.7771969203720246
400001,401440,0.9889688217419355
400001,401457,0.3724286282288535
400001,401464,0.6227508775826244
400001,401489,0.5965928463759014
400001,401495,0.20168119293442854
400001,401541,0.995372383361695
400001,401555,0.203377911833633
400001,401560,0.9911767858412259
400001,401567,0.3734238239542256
400001,401597,0.4471766272849841
400001,401606,0.4461467142983981
400001,401611,0.689311048276031
400001,401655,0.7868675627823273
400001,401808,0.7887420848765432
400001,401809,0.7868485163210273
400001,401810,0.8161921081969692
400001,401811,0.8140366077145
400001,401816,0.9437287075993132
400001,401817,0.9434176189444399
400001,401845,0.12131498228319144
400001,401846,0.12117190405848025
400001,401890,0.8063899341971152
400001,401891,0.807221041408493
400001,401906,0.7238289305881535
400001,401908,0.7217361711700594
400001,401942,0.8075919115154074
400001,401943,0.8056339181897676
400001,401957,0.2973556508508301
400001,401958,0.2965020132820946
400001,401994,0.6109115053743387
400001,401996,0.3153916769838175
400001,401997,0.25711846410946504
400001,401998,0.1418011501373274
400001,402056,0.8564428414167319
400001,402057,0.9086772403749473
400001,402058,0.9132948962632559
400001,402059,0.9154168175919856
400001,402060,0.130310491646717
400001,402061,0.12957055936421263
400001,402067,0.797860137916552
400001,402117,0.9526916708763288
400001,402118,0.9531897503491982
400001,402119,0.6582727383174874
400001,402120,0.8547637432513914
400001,402121,0.9674737191695918
400001,402281,0.9488095301491064
400001,402282,0.948721552786059
400001,402283,0.9086332570348782
400001,402284,0.9087099765453225
400001,402285,0.8590033845607142
400001,402286,0.8014736968937395
400001,402287,0.8016087974852217
400001,402288,0.6783833262338482
400001,402289,0.6785339034372402
400001,402359,0.6581047035614421
400001,402360,0.6589067896333588
400001,402361,0.7354978925289245
400001,402362,0.9327142361393986
400001,402363,0.9329589460189456
400001,402364,0.9944796884045846
400001,402365,0.9946186609363639
400001,402366,0.525997609095027
400001,402367,0.526115181543587
400001,402368,0.3841549688822687
400001,402369,0.38434207323570646
400001,402370,0.3296559912977071
400001,402371,0.304821136234667
400001,402372,0.12470944851346061
400001,402373,0.12362145106820874
400001,403225,0.9544996366931788
400001,403265,0.9525125542840318
400001,403329,0.28500962346752257
400001,403401,0.7957428090473836
400001,403402,0.7972148739559856
400001,403404,0.8052751093111409
400001,403406,0.8146868792593549
400001,403409,0.8129396870191671
400001,403412,0.8061380702996822
400001,403414,0.7319782265710986
400001,403419,0.7339096242346748
400001,404370,0.503853392643474
400001,404434,0.1814799044129588
400001,404435,0.14586134883311683
400001,404444,0.18020251595320122
400001,404451,0.31641557928425296
400001,404452,0.4209690133698786
400001,404453,0.6699370687029104
400001,404461,0.6688835621456647
400001,404462,0.3166389288643867
400001,404521,0.6929090481558328
400001,404522,0.1792518760922407
400001,404553,0.32984168473515724
400001,404554,0.1793300388213128
400001,404585,0.309525869627894
400001,404586,0.3088687614528753
400001,404640,0.1592331187678745
400001,404753,0.9996905098005643
400001,404759,0.9998426384740084
400001,405613,0.24344662974628184
400001,405619,0.4199061056387594
400001,405701,0.7283137640055478
400001,407150,0.5972098537919771
400001,407151,0.6536237714192266
400001,407152,0.6930507179760449
400001,407153,0.8226398443589646
400001,407155,0.8462393612874902
400001,407157,0.8476689847952101
400001,407161,0.7580947221506827
400001,407165,0.7461299788944421
400001,407172,0.7562442878282732
400001,407173,0.7549408761339707
400001,407174,0.8054384160309366
400001,407176,0.7457589231026249
400001,407177,0.7544514724952459
400001,407179,0.7906881423916515
400001,407180,0.8129972150677979
400001,407181,0.8378292476942871
400001,407184,0.5966390321355757
400001,407185,0.6529765330566814
400001,407186,0.847363687457813
400001,407187,0.8465705632010146
400001,407190,0.721008110098218
400001,407191,0.757702275527744
400001,407194,0.7480244349546719
400001,407200,0.8227138686176498
400001,407202,0.7583051713630763
400001,407204,0.7820515129507517
400001,407206,0.8153934473092795
400001,407207,0.8397623207704752
400001,407321,0.1341459421280546
400001,407325,0.10814912589071385
400001,407328,0.11265612776779493
400001,407331,0.131062065490213
400001,407335,0.11440726654381439
400001,407336,0.1301901755131798
400001,407337,0.1341884760091687
400001,407339,0.13565357622057048
400001,407341,0.13372294317012764
400001,407342,0.11174860533192348
400001,407344,0.13899457019552816
400001,407348,0.1069977583602798
400001,407352,0.11194544564107209
400001,407360,0.11359039827872144
400001,407361,0.1292092271426052
400001,407364,0.13485172164105336
400001,407367,0.11086206016884288
400001,407370,0.13356270811938578
400001,407372,0.13297559587797003
400001,407373,0.12859382281191353
400001,407710,0.6841708578885021
400001,407711,0.6702470305875478
400001,408907,0.710774608446449
400001,408911,0.7329829722450485
400001,409524,0.9674053492268182
400001,409525,0.9790723968488146
400001,409526,0.9669371613432957
400001,409528,0.9792218354385943
400001,409529,0.9673172550748229
400001,413026,0.6581305018479732
400001,413845,0.6220472671390874
400001,413877,0.7999438927021028
400001,413878,0.8149178558554743
400001,414284,0.8108288446895268
400001,414694,0.7340368994524075
400017,400001,0.18808271081111147
400017,400017,1.0
400017,400030,0.2226883426763388
400017,400040,0.535768166563889
400017,400045,0.19305064177209616
400017,400052,0.6810153515665532
400017,400057,0.4345755879933603
400017,400059,0.8937258342278415
400017,400065,0.4524954841669146
400017,400069,0.10544398484120573
400017,400073,0.9909101931130078
400017,400084,0.34626003491487856
400017,400085,0.6753460684736048
400017,400097,0.6607685335278186
400017,400100,0.8034142810974014
400017,400109,0.1781172677588687
400017,400122,0.17767385817145387
400017,400147,0.36568606905213613
400017,400148,0.9176215567779116
400017,400160,0.18614077448587932
400017,400172,0.1538193108157237
400017,400178,0.5532464133144346
400017,400185,0.3952310171495578
400017,400206,0.128840718730004
400017,400209,0.24925803981840042
400017,400213,0.9597025816852625
400017,400221,0.814346360881172
400017,400222,0.7150676016889287
400017,400227,0.1496610605020536
400017,400236,0.4269501499724021
400017,400240,0.9915461079204526
400017,400246,0.10169267018564504
400017,400253,0.3590666371141296
400017,400257,0.5449663725528908
400017,400258,0.48568476729892057
400017,400268,0.549618432194866
400017,400278,0.9776910002017868
400017,400280,0.5479161966222751
400017,400292,0.5784868448506852
400017,400298,0.8188927062481187
400017,400336,0.9761425096549569
400017,400343,0.3043000544674175
400017,400353,0.11980469001548516
400017,400372,0.11041255989603874
400017,400394,0.1885268252713543
400017,400400,0.1962828919393228
400017,400414,0.5509793596735624
400017,400418,0.5446134898436381
400017,400429,0.4872842762425034
400017,400436,0.9588816861247427
400017,400440,0.17503205382517964
400017,400457,0.5533409682336577
400017,400461,0.7068594947208379
400017,400464,0.9755114094408548
400017,400479,0.19945538653034786
400017,400485,0.9987773569436893
400017,400499,0.3244540017457618
400017,400507,0.442798248075066
400017,400508,0.31613589042193274
400017,400514,0.43877136042131015
400017,400519,0.5085288340968513
400017,400560,0.4102280721936754
400017,400563,0.4263526118790921
400017,400582,0.7144762380927631
400017,400586,0.1514541683393496
400017,400637,0.5323614749092735
400017,400648,0.3942783718481418
400017,400649,0.9871897850991497
400017,400654,0.5274894728677089
400017,400664,0.5139831531131379
400017,400665,0.18569100398513924
400017,400668,0.1714417898535577
400017,400673,0.33673267732635564
400017,400677,0.2501644138774007
400017,400688,0.9598898567315434
400017,400690,0.691203815796441
400017,400700,0.9894881690449707
400017,400709,0.374744837206892
400017,400713,0.9895203261236719
400017,400714,0.6044572793150722
400017,400715,0.9912961495992785
400017,400717,0.9174142010212852
400017,400723,0.4417321714871501
400017,400750,0.8940315278351328
400017,400760,0.15942523310984458
400017,400772,0.9760696840197012
400017,400792,0.991449296043575
400017,400799,0.3449337087719366
400017,400804,0.20521702055630958
400017,400822,0.9915844613978613
400017,400823,0.2538172907230137
400017,400828,0.4418799271719297
400017,400832,0.9897796893082415
400017,400837,0.5141961955179813
400017,400842,0.5534930137623274
400017,400863,0.16502108788955824
400017,400895,0.1309195453726236
400017,400907,0.9753403563266029
400017,400911,0.16455699503372437
400017,400916,0.45176926787883603
400017,400922,0.18820859290446057
400017,400934,0.9987335899276046
400017,400951,0.5272732164010853
400017,400952,0.6616101091887524
400017,400953,0.36665579794595343
400017,400964,0.15198795427081982
400017,400965,0.18148631672915327
400017,400971,0.165671664384524
400017,400995,0.48590259366376815
400017,400996,0.17939611947830797
400017,401129,0.54638439701431
400017,401154,0.5463891937075804
400017,401163,0.5847419914943869
400017,401167,0.5826947366467353
400017,401210,0.5203195566568974
400017,401224,0.5194493401917918
